TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Beta_AF8,Beta_TP9
11:14.5,0.5935962,0.7328346,-0.30746427,0.82649595,0.5670351,0.14626896,-0.19507658,0.2852123,0.8120225,0.33714607,-0.060994055,0.56607896,0.56066334,0.34863314,0.5868397,0.45262685,0.03394438,0.46473923,0.20058708,-0.0784291,785.7143,769.19415,808.68134,774.83514,596.7399,-0.036987305,0.096313477,0.987976074,-1.09161377,0.119628906,-2.534637451,1,2,1,1,2,97,,0.5868397,0.56066334
11:15.5,0.9227737,0.80552715,0.328473,0.82649595,0.3796416,0.14548998,0.13086629,0.2852123,0.9902787,0.12082505,0.18610275,0.56607896,0.58312446,0.31733787,0.4186759,0.45262685,0.5817558,0.467936,0.2635639,-0.0784291,774.43225,792.5641,798.20514,781.28204,773.22345,-0.060913086,0.098388672,0.995422363,-0.949554443,-2.385101318,-9.734802246,1,1,1,1,1,97,,0.4186759,0.58312446
11:16.5,0.86154705,0.39033788,0.034093305,0.9262825,0.44080582,-0.33474988,-0.15460846,0.64037645,1.2931391,0.56293607,0.27676627,0.8896275,0.6847648,0.41858807,0.16037022,0.5628811,0.5148421,0.25998756,0.21151277,0.27997154,785.31134,784.5055,792.5641,813.91943,930.3663,-0.074645996,0.097839355,0.96105957,0.321502686,-2.96081543,-0.119628906,1,1,1,1,1,97,,0.16037022,0.6847648
02-03-24 15:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,,
11:17.5,0.58876497,0.7189618,-0.04632457,0.8797698,0.1648193,0.36270505,-0.5312426,0.66292036,1.209712,0.6912581,0.20580116,0.81343174,0.5718253,0.60456675,0.061422892,0.5422403,0.28336444,0.54070383,0.06705715,0.35280868,808.2784,805.05493,802.23444,789.7436,902.5641,-0.021118164,0.023010254,0.990112305,0.91217041,-7.200164795,-3.028106689,1,1,1,1,1,97,,0.061422892,0.5718253
11:18.6,0.6447163,0.5562219,0.02465111,0.8797698,-0.08193661,0.18763986,-0.59628475,0.66292036,1.167151,0.5276189,0.045849033,0.81343174,0.5147393,0.5522878,0.09781432,0.5422403,0.2553704,0.5090107,0.07304486,0.35280868,814.3223,806.6667,827.2161,794.9817,570.14655,0.020080566,-0.00378418,0.971679688,3.401947021,-7.880554199,-1.233673096,1,1,1,1,1,97,,0.09781432,0.5147393
02-03-24 15:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,,
02-03-24 15:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,,
11:19.6,0.6447163,0.25572646,0.02465111,0.8797698,-0.08193661,-0.05209393,-0.59628475,0.66292036,1.167151,0.4921777,0.045849033,0.81343174,0.5147393,0.31217188,0.09781432,0.5422403,0.2553704,0.33622998,0.07304486,0.35280868,799.81683,801.02563,798.60803,800.6227,823.9927,0.03326416,0.015075684,0.988098145,0.904693604,-0.261688232,0.545806885,1,2,1,1,2,97,,0.09781432,0.5147393
02-03-24 15:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,,
11:20.6,0.6447163,0.27499673,0.02465111,0.8797698,-0.08193661,0.08851093,-0.59628475,0.66292036,1.167151,0.36696297,0.045849033,0.81343174,0.5147393,0.3523551,0.09781432,0.5422403,0.2553704,0.25657535,0.07304486,0.35280868,817.5458,786.9231,797.8022,803.8461,667.6557,0.021118164,0.026611328,0.979125977,-0.710296631,-0.785064697,-0.687866211,1,2,1,1,2,97,,0.09781432,0.5147393
11:21.6,0.6447163,0.32755053,0.02465111,0.8797698,-0.08193661,0.31904286,-0.59628475,0.66292036,1.167151,0.4580505,0.045849033,0.81343174,0.5147393,0.40794608,0.09781432,0.5422403,0.2553704,0.35789335,0.07304486,0.35280868,778.86444,779.2674,790.9524,778.0586,840.9158,0.01373291,0.018676758,0.97442627,0.029907227,-2.063598633,-0.657958984,1,2,1,1,2,97,,0.09781432,0.5147393
